"","x"
"2647","6:32632608"
"2648","22:29083910"
"2649","22:29083913"
"2650","10:51853633"
"2651","17:59946430"
"2652","4:154191552"
"2653","21:38524250"
"2654","2:110301779"
"2655","3:184071063"
"2656","23:149101934"
"2657","1:110906435"
"2658","12:109831351"
"2659","7:102210320"
"2660","1:29557390"
"2661","2:38178790"
"2662","2:216190654"
"2663","7:22197480"
"2664","10:76288237"
"2665","1:228430947"
"2666","1:228504670"
"2667","2:102954653"
"2668","4:1090625"
"2669","5:35871190"
"2670","5:35874575"
"2671","5:102363883"
"2672","22:31985776"
"2673","7:99956436"
"2674","5:140242479"
"2675","1:227843321"
"2676","17:37687478"
"2677","3:49725034"
"2678","17:21319069"
"2679","17:21319543"
"2680","17:21319436"
"2681","17:21318773"
"2682","17:21319171"
"2683","17:21319488"
"2684","2:108475958"
"2685","2:48018319"
"2686","2:48023115"
"2687","8:144391924"
"2688","1:1571841"
"2689","8:12948951"
"2690","6:10729020"
"2691","19:14877816"
"2692","3:52643785"
"2693","8:62491435"
"2694","4:176636163"
"2695","9:33385733"
"2696","15:48807637"
"2697","3:190106074"
"2698","1:52141044"
"2699","11:47380340"
"2700","2:42275819"
"2701","13:49830213"
"2702","17:7578443"
"2703","17:7577541"
"2704","17:7577530"
"2705","17:7579424"
"2706","17:7577563"
"2707","17:7577111"
"2708","17:7578215"
"2709","17:7578262"
"2710","17:7578191"
"2711","17:7577511"
"2712","17:7578201"
"2713","17:7577498"
"2714","17:7579529"
"2715","17:7577112"
"2716","17:7578454"
"2717","17:7577575"
"2718","1:110300587"
"2719","1:200880978"
"2720","7:36552656"
"2721","19:42791718"
"2722","20:45875079"
"2723","1:146039845"
"2724","1:27088687"
"2725","1:27092809"
"2726","16:29415043"
"2727","8:41906095"
"2728","7:39379316"
"2729","15:23685102"
"2730","19:40762959"
"2731","20:43933021"
"2732","2:55523308"
"2733","12:132547096"
"2734","12:132547135"
"2735","1:242020734"
"2736","4:55141036"
"2737","21:39760711"
"2738","6:32497918"
"2739","6:32497928"
"2740","20:62194128"
"2741","15:51766637"
"2742","12:86374058"
"2743","15:34825132"
"2744","7:82582951"
"2745","4:54319260"
"2746","23:70339256"
"2747","15:89836228"
"2748","8:6873603"
"2749","8:10583650"
"2750","1:240969562"
"2751","19:57329187"
"2752","17:17772621"
"2753","1:67795338"
"2754","2:168105217"
"2755","17:58740630"
"2756","14:23745317"
"2757","6:136597281"
"2758","7:36447352"
"2759","2:16082317"
"2760","19:53086598"
"2761","17:25910023"
"2762","8:145234876"
"2763","1:150808889"
"2764","22:29091781"
"2765","12:6657980"
"2766","3:48421639"
"2767","22:20760515"
"2768","1:158324938"
"2769","17:12839599"
"2770","10:104159196"
"2771","10:102587329"
"2772","14:20295729"
"2773","19:16855265"
"2774","15:33192236"
"2775","14:20876253"
"2776","19:12187475"
"2777","3:52610695"
"2778","14:92537379"
"2779","11:1642884"
"2780","20:32664865"
"2781","19:621712"
"2782","7:106824064"
"2783","1:40533287"
"2784","1:40535490"
"2785","1:40533320"
"2786","11:64577332"
"2787","7:76069886"
"2788","17:7578370"
"2789","17:7578486"
"2790","17:7577126"
"2791","17:7578216"
"2792","17:7578476"
"2793","17:7578551"
"2794","17:7578446"
"2795","17:7578509"
"2796","17:7577069"
"2797","17:7578204"
"2798","17:7579323"
"2799","17:7579533"
"2800","17:7579355"
"2801","17:7577552"
"2802","1:27995581"
"2803","21:39983860"
"2804","21:39976539"
"2805","21:39976701"
"2806","6:152697632"
"2807","8:82588523"
"2808","17:80123375"
"2809","2:206061775"
"2810","12:121432117"
"2811","2:238236493"
"2812","12:50747005"
"2813","4:106196819"
"2814","4:106193787"
"2815","4:106197285"
"2816","9:70993145"
"2817","7:94752372"
"2818","15:76958034"
"2819","17:76993313"
"2820","3:50375431"
"2821","22:23545302"
"2822","5:140186984"
"2823","4:1807889"
"2824","4:1803704"
"2825","4:1807584"
"2826","6:30859306"
"2827","6:170871058"
"2828","19:33793258"
"2829","5:67591097"
"2830","5:67522722"
"2831","12:57422580"
"2832","6:160833664"
"2833","5:140221071"
"2834","4:43032468"
"2835","5:158630640"
"2836","2:206592695"
"2837","6:30545863"
"2838","6:56476457"
"2839","17:78608186"
"2840","5:840644"
"2841","19:54744794"
"2842","19:55671337"
"2843","9:127912080"
"2844","11:44257802"
"2845","11:67759316"
"2846","1:248737167"
"2847","15:78587761"
"2848","10:46999922"
"2849","1:248084909"
"2850","1:248084747"
"2851","1:248084749"
"2852","5:156721866"
"2853","15:20740129"
"2854","1:152276583"
"2855","1:152280782"
"2856","12:108038767"
"2857","17:56448303"
"2858","8:120826693"
"2859","7:56088985"
"2860","1:51767923"
"2861","4:55593613"
"2862","4:55599401"
"2863","4:55599320"
"2864","2:202149917"
"2865","4:1808033"
"2866","4:1808331"
"2867","17:46629744"
"2868","23:63412095"
"2869","16:706011"
"2870","19:6477259"
"2871","15:42111755"
"2872","18:22863897"
"2873","7:127991133"
"2874","7:140453154"
"2875","7:140453193"
"2876","7:140449071"
"2877","7:140453145"
"2878","7:140476936"
"2879","7:140481411"
"2880","14:93761200"
"2881","7:100647338"
"2882","7:100647376"
"2883","7:100086203"
"2884","17:14140081"
"2885","17:63028041"
"2886","19:41386494"
"2887","19:2211050"
"2888","19:2226676"
"2889","6:53778661"
"2890","19:43709654"
"2891","1:152975739"
"2892","1:152975715"
"2893","9:5084837"
"2894","9:5072846"
"2895","9:5087495"
"2896","2:170460823"
"2897","19:51920196"
"2898","10:89717672"
"2899","10:89717775"
"2900","10:89692993"
"2901","10:89711900"
"2902","10:89653799"
"2903","1:93667524"
"2904","11:18267478"
"2905","1:89449037"
"2906","1:89449390"
"2907","4:1164552"
"2908","15:63344109"
"2909","11:89608899"
"2910","17:47696643"
"2911","14:39601190"
"2912","17:57247179"
"2913","17:16068287"
"2914","17:16068343"
"2915","17:16068396"
"2916","6:13206141"
"2917","12:2795043"
"2918","22:42523943"
"2919","3:142241704"
"2920","2:43452628"
"2921","1:203032922"
"2922","15:54586277"
"2923","19:54744210"
"2924","19:54745550"
"2925","15:89400023"
"2926","4:151134760"
"2927","1:231114888"
"2928","8:113241035"
"2929","19:55790893"
"2930","2:202151272"
"2931","3:113010466"
"2932","13:28592640"
"2933","9:33385690"
"2934","11:4976013"
"2935","6:45390463"
"2936","19:33499071"
"2937","23:102842229"
"2938","7:150721491"
"2939","14:71215729"
"2940","17:78320146"
"2941","3:189590825"
"2942","3:189507518"
"2943","12:14613917"
"2944","15:40269004"
"2945","16:81863795"
"2946","16:28607232"
"2947","19:8176945"
"2948","19:8161450"
"2949","19:12060647"
"2950","3:98600376"
"2951","17:20108270"
"2952","11:114421857"
"2953","19:643535"
"2954","3:75790880"
"2955","3:75787962"
"2956","3:75786832"
"2957","3:75786586"
"2958","3:75788040"
"2959","23:50350728"
"2960","16:30518041"
"2961","19:56274213"
"2962","17:47696426"
"2963","7:143339879"
"2964","3:189612028"
"2965","9:80537095"
"2966","1:26608867"
"2967","7:72413581"
"2968","20:1895820"
"2969","20:1896059"
"2970","8:7320265"
"2971","1:169510293"
"2972","16:1278744"
"2973","16:1279244"
"2974","20:9543688"
"2975","1:143767628"
"2976","12:123794290"
"2977","3:178952018"
"2978","3:178952084"
"2979","3:178952077"
"2980","3:178938747"
"2981","3:178936092"
"2982","3:178952149"
"2983","3:178952090"
"2984","3:178916930"
"2985","3:178936094"
"2986","16:14038545"
"2987","6:32632782"
"2988","6:32632650"
"2989","19:30500143"
"2990","12:66308644"
"2991","14:105930916"
"2992","5:140502495"
"2993","7:151932997"
"2994","7:151945140"
"2995","7:151945070"
"2996","2:1161183"
"2997","7:36552728"
"2998","1:248652175"
"2999","7:37078738"
"3000","19:39330966"
"3001","2:207025366"
"3002","6:82461775"
"3003","15:34820219"
"3004","15:34674048"
"3005","5:35708770"
"3006","15:90320149"
"3007","1:24993374"
"3008","17:71220979"
"3009","6:135358567"
"3010","17:7577533"
"3011","17:7578392"
"3012","17:7578407"
"3013","17:7579377"
"3014","17:7578226"
"3015","17:7577595"
"3016","17:7577081"
"3017","17:7574021"
"3018","17:7578552"
"3019","17:7577526"
"3020","17:7577537"
"3021","17:7577109"
"3022","17:7578507"
"3023","17:7578291"
"3024","17:7578382"
"3025","17:7577117"
"3026","12:25398291"
"3027","12:25398262"
"3028","22:29754871"
"3029","17:62076077"
"3030","8:145024633"
"3031","2:97845607"
"3032","2:97877292"
"3033","2:97860487"
"3034","2:97818261"
"3035","2:97877478"
"3036","2:97808394"
"3037","2:97869979"
"3038","3:32571057"
"3039","7:100349919"
"3040","7:100385563"
"3041","6:393360"
"3042","2:241616119"
"3043","11:33087551"
"3044","16:677587"
"3045","7:102294074"
"3046","3:130125116"
"3047","19:50169104"
"3048","21:47613623"
"3049","6:167591954"
"3050","6:167594182"
"3051","6:117622184"
"3052","4:190947570"
"3053","8:82626245"
"3054","12:11244390"
"3055","12:11244126"
"3056","12:11244721"
"3057","16:4862236"
"3058","17:15443734"
"3059","12:113167823"
"3060","3:20116852"
"3061","11:1651120"
"3062","18:10548548"
"3063","11:11374016"
"3064","6:26392515"
"3065","6:44232741"
"3066","11:244167"
"3067","2:48022981"
"3068","2:48018314"
"3069","16:72830911"
"3070","6:45480122"
"3071","23:18260730"
"3072","10:32849645"
"3073","17:15441536"
"3074","7:152497656"
"3075","11:64855986"
"3076","12:48458903"
"3077","15:93458522"
"3078","1:148004732"
"3079","1:148006259"
"3080","1:148005107"
"3081","1:148024842"
"3082","11:45793218"
"3083","12:49438067"
"3084","14:105246445"
"3085","11:69462910"
"3086","7:150556055"
"3087","15:72190587"
"3088","18:14542890"
"3089","18:14542791"
"3090","22:31998612"
"3091","13:20056687"
"3092","9:21971029"
"3093","6:31939832"
"3094","6:31940123"
"3095","10:104852955"
"3096","10:35456661"
"3097","1:17265560"
"3098","12:112888166"
"3099","17:40574877"
"3100","17:37881003"
"3101","1:109792751"
"3102","3:43389767"
"3103","20:29625877"
"3104","20:29632679"
"3105","7:102147148"
"3106","22:36587844"
"3107","21:40023430"
"3108","21:40028421"
"3109","21:34799298"
"3110","9:33385815"
"3111","9:33386465"
"3112","9:33385750"
"3113","9:33385784"
"3114","1:40535481"
"3115","6:42074106"
"3116","1:27621115"
"3117","11:71498601"
"3118","6:31324536"
"3119","6:31322402"
"3120","6:31322911"
"3121","6:31324100"
"3122","22:51183255"
"3123","9:134351687"
"3124","7:44801421"
"3125","9:19573529"
"3126","1:7890053"
"3127","4:166199345"
"3128","7:72738763"
"3129","20:39794489"
"3130","19:21366471"
"3131","1:208272313"
"3132","7:117188736"
"3133","1:6529206"
"3134","15:90631837"
"3135","12:66614297"
"3136","11:123893988"
"3137","1:207642050"
"3138","7:152346227"
"3139","3:50099457"
"3140","10:123247516"
"3141","7:146741041"
"3142","22:41568480"
"3143","22:41569609"
"3144","12:20968645"
"3145","1:248112554"
"3146","17:15477417"
"3147","10:51748684"
"3148","1:207726161"
"3149","2:29443696"
"3150","10:96058298"
"3151","6:29912153"
"3152","6:29910725"
"3153","22:40697199"
"3154","23:109561053"
"3155","2:233785159"
"3156","13:52008900"
"3157","1:12907284"
"3158","1:12907385"
"3159","9:97087707"
"3160","9:97080827"
"3161","1:914852"
"3162","8:7718266"
"3163","1:247150500"
"3164","5:156479571"
"3165","17:74381567"
"3166","17:74381555"
"3167","2:219204600"
"3168","12:42512938"
"3169","12:42512910"
"3170","6:150343211"
"3171","22:31487806"
"3172","5:137503739"
"3173","11:26570501"
"3174","15:51791559"
"3175","21:36252877"
"3176","1:16915434"
"3177","1:16890598"
"3178","22:33255330"
"3179","4:108935772"
"3180","2:88913273"
"3181","3:10191488"
"3182","3:10188322"
"3183","23:64956699"
"3184","5:137235267"
"3185","20:54968189"
"3186","6:167313023"
"3187","6:57398190"
"3188","16:89805074"
"3189","7:20198700"
"3190","2:202149964"
"3191","19:45850092"
"3192","7:99367338"
"3193","20:60464683"
"3194","1:59135529"
"3195","7:152497606"
"3196","23:63412110"
"3197","9:126157751"
"3198","7:143416945"
"3199","5:138643143"
"3200","11:114312896"
"3201","1:227922918"
"3202","1:145368461"
"3203","1:145293490"
"3204","1:145298186"
"3205","18:45375016"
"3206","5:127654705"
"3207","20:1592154"
"3208","11:46404320"
"3209","17:21731270"
"3210","3:75787405"
"3211","3:75786748"
"3212","3:75786687"
"3213","3:75790860"
"3214","23:70339230"
"3215","23:70339244"
"3216","23:70339245"
"3217","16:20809122"
"3218","17:36339597"
"3219","4:1388631"
"3220","4:1388324"
"3221","11:534242"
"3222","11:100741694"
"3223","19:13054564"
"3224","9:43129577"
"3225","11:801776"
"3226","6:75994206"
"3227","4:76522293"
"3228","15:45445746"
"3229","5:122737709"
"3230","4:15995687"
"3231","15:50785055"
"3232","16:88780641"
"3233","18:50750225"
"3234","2:160898583"
"3235","11:1264631"
"3236","11:1269835"
"3237","1:160802662"
"3238","1:13111584"
"3239","16:28617514"
"3240","6:89793894"
"3241","9:84606335"
"3242","5:158630641"
"3243","6:44221293"
"3244","6:44221387"
"3245","23:14599498"
"3246","8:10467571"
"3247","19:40392631"
"3248","7:6426892"
"3249","8:145617553"
"3250","4:106155921"
"3251","4:106164914"
"3252","4:106190860"
"3253","4:106193892"
"3254","12:77209627"
"3255","11:36248854"
"3256","11:95825407"
"3257","3:136088038"
"3258","15:50782647"
"3259","1:26608852"
"3260","20:58330382"
"3261","5:176721272"
"3262","7:49815390"
"3263","16:3304573"
"3264","4:367206"
"3265","17:7386234"
"3266","11:17351683"
"3267","15:29379467"
"3268","2:115986164"
"3269","10:105233110"
"3270","7:102246311"
"3271","1:144879375"
"3272","23:8138284"
"3273","23:8138170"
"3274","23:8138182"
"3275","19:41173895"
"3276","13:94539013"
"3277","4:83778839"
"3278","12:112229933"
"3279","9:172167"
"3280","7:6085747"
"3281","4:102992422"
"3282","3:37053568"
"3283","19:18895749"
"3284","14:89258720"
"3285","17:18397546"
"3286","11:74336617"
"3287","6:66053984"
"3288","11:104761206"
"3289","11:8248482"
"3290","3:195453288"
"3291","3:195512373"
"3292","3:195508091"
"3293","3:195506940"
"3294","3:195508668"
"3295","3:195510601"
"3296","3:195507443"
"3297","3:195515017"
"3298","3:195505762"
"3299","3:195507323"
"3300","3:195506076"
"3301","3:195510217"
"3302","3:195508069"
"3303","3:195507434"
"3304","19:38851455"
"3305","10:33018284"
"3306","11:46369302"
"3307","2:60689444"
"3308","17:45258971"
"3309","17:45234707"
"3310","5:22578497"
"3311","9:140815866"
"3312","1:145281633"
"3313","7:21700303"
"3314","7:116436022"
"3315","1:82434986"
"3316","21:45971152"
"3317","7:76126737"
"3318","2:209025583"
"3319","19:501738"
"3320","2:44550560"
"3321","17:40956277"
"3322","1:247319915"
"3323","3:124462710"
"3324","11:108115600"
"3325","22:29440867"
"3326","13:36700097"
"3327","13:36428681"
"3328","10:123239112"
"3329","16:3788618"
"3330","2:130738163"
"3331","15:88423598"
"3332","19:55147987"
"3333","20:54959296"
"3334","8:101727801"
"3335","8:101719201"
"3336","17:18565143"
"3337","6:32610109"
"3338","6:29910730"
"3339","6:29910378"
"3340","6:29912108"
"3341","6:29910508"
"3342","6:29912147"
"3343","4:57220278"
"3344","1:2087557"
"3345","6:31379823"
"3346","1:31905902"
"3347","20:55070268"
"3348","22:29885638"
"3349","22:29885562"
"3350","2:113955074"
"3351","15:23021246"
"3352","19:56321612"
"3353","9:18680357"
"3354","17:41244936"
"3355","19:22363610"
"3356","8:128428656"
"3357","12:95921615"
"3358","23:99662511"
"3359","8:7215694"
"3360","7:1979161"
"3361","3:73481006"
"3362","14:105070791"
"3363","17:7798771"
"3364","16:50827601"
"3365","11:118529043"
"3366","11:118529017"
"3367","11:1018456"
"3368","11:1017746"
"3369","11:1017522"
"3370","11:1017231"
"3371","11:1016835"
"3372","11:1018390"
"3373","11:1016614"
"3374","11:1018048"
"3375","11:1017679"
"3376","3:49412977"
"3377","2:231159032"
"3378","6:91256928"
"3379","8:52733164"
"3380","10:125780764"
"3381","19:54726299"
"3382","19:54724457"
"3383","11:3050210"
"3384","8:41838503"
"3385","11:85435362"
"3386","18:60794654"
"3387","6:153323709"
"3388","4:8063394"
"3389","16:4846125"
"3390","1:235345425"
"3391","8:54742106"
"3392","16:22545897"
"3393","15:93588336"
"3394","1:1452566"
"3395","1:248801778"
"3396","1:104076477"
"3397","11:5655760"
"3398","18:43595913"
"3399","1:202743892"
"3400","6:122773119"
"3401","10:114925333"
"3402","3:100438784"
"3403","4:84374480"
"3404","11:119213694"
"3405","4:175899075"
"3406","4:175897289"
"3407","5:180687440"
"3408","5:158596072"
"3409","23:37028425"
"3410","14:31582380"
"3411","14:31598461"
"3412","12:53291239"
"3413","14:23371265"
"3414","11:3028140"
"3415","10:55782888"
"3416","17:40475064"
"3417","17:40474461"
"3418","10:51374391"
"3419","11:126146290"
"3420","1:144879264"
"3421","22:46931232"
"3422","13:21386685"
"3423","12:125270773"
"3424","1:160106787"
"3425","1:12854414"
"3426","12:4653069"
"3427","2:130832256"
"3428","19:47259734"
"3429","4:88537077"
"3430","4:88536457"
"3431","4:88536917"
"3432","2:38302177"
"3433","7:55226226"
"3434","11:124253100"
"3435","15:23690543"
"3436","11:51516144"
"3437","19:7830869"
"3438","3:114058009"
"3439","16:84882079"
"3440","7:19769025"
"3441","22:29664423"
"3442","5:145647328"
"3443","7:102627911"
"3444","9:35043655"
"3445","17:80007080"
"3446","12:52885316"
"3447","6:41903782"
"3448","20:1896060"
"3449","23:140993859"
"3450","23:140993852"
"3451","23:140993745"
"3452","16:67267859"
"3453","8:105692163"
"3454","8:105614382"
"3455","1:54605325"
"3456","1:13716842"
"3457","4:66280171"
"3458","18:12115509"
"3459","8:20038466"
"3460","16:3447282"
"3461","21:43803167"
"3462","3:195510611"
"3463","3:195507077"
"3464","3:195515141"
"3465","3:195511547"
"3466","3:195506387"
"3467","3:195508130"
"3468","3:195514403"
"3469","17:17122327"
"3470","16:28621311"
"3471","19:17837512"
"3472","13:73302261"
"3473","8:128750617"
"3474","5:112175360"
"3475","5:112175235"
"3476","6:33048686"
"3477","16:15839034"
"3478","1:248616401"
"3479","15:35185812"
"3480","11:314207"
"3481","15:91428589"
"3482","1:25571804"
"3483","1:70504932"
"3484","8:103573028"
"3485","14:104641792"
"3486","6:55638912"
"3487","15:22074657"
"3488","9:33541216"
"3489","9:33566370"
"3490","1:184525220"
"3491","14:94088057"
"3492","16:58549932"
"3493","4:140811084"
"3494","7:151882657"
"3495","7:151970877"
"3496","7:151935866"
"3497","7:151935910"
"3498","5:170819122"
"3499","9:136798812"
"3500","23:11224864"
"3501","1:144917841"
"3502","1:144871782"
"3503","1:144912233"
"3504","19:53116856"
"3505","14:94849201"
"3506","1:201180145"
"3507","19:5866736"
"3508","7:121604667"
"3509","22:19211477"
"3510","15:91428636"
"3511","11:64083221"
"3512","22:50616806"
"3513","15:73023725"
"3514","10:78729794"
"3515","17:77111776"
"3516","3:49412884"
"3517","5:31723461"
"3518","17:3324004"
"3519","11:107677398"
"3520","12:31237922"
"3521","12:31250875"
"3522","5:140531175"
"3523","12:11214455"
"3524","1:240371075"
"3525","11:1092928"
"3526","6:136589448"
"3527","11:58962833"
"3528","12:416960"
"3529","19:36002405"
"3530","15:41192602"
"3531","22:16287851"
"3532","19:17397481"
"3533","19:17392894"
"3534","8:48962347"
"3535","4:10027542"
"3536","6:31238029"
"3537","3:52821011"
"3538","12:45013920"
"3539","1:155162067"
"3540","13:34398072"
"3541","2:27851918"
"3542","12:11174372"
"3543","12:11174327"
"3544","3:12639509"
"3545","3:12645699"
"3546","21:35893737"
"3547","9:67934804"
"3548","9:67968458"
"3549","9:67968476"
"3550","9:67926929"
"3551","17:70120551"
"3552","11:76751543"
"3553","1:243329211"
"3554","13:20056655"
"3555","7:1527081"
"3556","19:53116804"
"3557","6:31610686"
"3558","10:8115875"
"3559","10:8106058"
"3560","10:8100734"
"3561","10:8111517"
"3562","6:132044969"
"3563","16:1291941"
"3564","11:117774291"
"3565","10:1128730"
"3566","21:46012160"
"3567","1:89599037"
"3568","8:13258927"
"3569","8:12958025"
"3570","12:21644555"
"3571","11:64083328"
"3572","10:43609942"
"3573","10:43605586"
"3574","17:17046892"
"3575","14:105412066"
"3576","16:20476995"
"3577","12:113726152"
"3578","9:33798017"
"3579","9:33797861"
"3580","9:33798075"
"3581","17:34798001"
"3582","1:27023565"
"3583","23:134967333"
"3584","2:200776353"
"3585","4:159754876"
"3586","11:64124940"
"3587","12:121605355"
"3588","17:37880985"
"3589","13:35618968"
"3590","1:161518214"
"3591","19:11136215"
"3592","5:112175423"
"3593","5:112175483"
"3594","5:112177171"
"3595","9:93639973"
"3596","7:73790857"
"3597","1:156107534"
"3598","5:141024136"
"3599","4:88536448"
"3600","1:40533347"
"3601","12:103868177"
"3602","7:35288307"
"3603","19:21544571"
"3604","18:60985879"
"3605","13:109704891"
"3606","10:126136239"
"3607","6:136597288"
"3608","2:61538615"
"3609","11:101832478"
"3610","3:4725969"
"3611","17:42929092"
"3612","14:91007728"
"3613","8:11614575"
"3614","1:206566903"
"3615","1:206566195"
"3616","9:79852910"
"3617","19:44377357"
"3618","8:143959174"
"3619","9:117371"
"3620","10:49383976"
"3621","13:98957291"
"3622","5:151167493"
"3623","7:55220177"
"3624","7:55210075"
"3625","3:128202767"
"3626","19:10577843"
"3627","11:113073055"
"3628","10:4875551"
"3629","9:20414340"
"3630","16:51175658"
"3631","12:55820970"
"3632","5:131396478"
"3633","23:53652852"
"3634","16:18820900"
"3635","8:142185718"
"3636","2:96994060"
"3637","4:83905716"
"3638","6:102227752"
"3639","22:29091816"
"3640","19:50881822"
"3641","12:6777108"
"3642","11:134151975"
"3643","19:47768128"
"3644","14:24567498"
"3645","3:44540796"
"3646","3:30686414"
"3647","17:16285497"
"3648","17:48628511"
"3649","20:39766423"
"3650","11:99326182"
"3651","11:58339691"
"3652","7:148484186"
"3653","19:21720557"
"3654","19:21720322"
"3655","20:3732633"
"3656","11:88997370"
"3657","9:139697272"
"3658","14:38061463"
"3659","15:43924429"
"3660","19:11170839"
"3661","16:31072909"
"3662","9:70177212"
"3663","6:34725657"
"3664","19:15508362"
"3665","7:72413243"
"3666","12:25380071"
"3667","12:6781695"
"3668","8:27888783"
"3669","15:91436556"
"3670","1:1635011"
"3671","9:99694363"
"3672","5:16694605"
"3673","19:22156870"
"3674","3:52478723"
"3675","7:55222755"
"3676","19:54725798"
"3677","7:114269973"
"3678","3:10088410"
"3679","3:128202761"
"3680","3:128200730"
"3681","7:31146129"
"3682","7:55229255"
"3683","6:153603817"
"3684","1:45294156"
"3685","7:55244630"
"3686","7:55259446"
"3687","13:32936646"
"3688","1:11856378"
"3689","1:11849447"
"3690","17:76046987"
"3691","1:204425028"
"3692","22:25019155"
"3693","6:10756728"
"3694","7:56088825"
"3695","6:47624299"
"3696","18:61584747"
"3697","1:14106397"
"3698","9:125273392"
"3699","7:77227241"
"3700","10:47168413"
"3701","17:37360846"
"3702","11:48346551"
"3703","11:48346962"
"3704","11:48346916"
"3705","11:48347358"
"3706","11:48346579"
"3707","11:48347306"
"3708","23:53652846"
"3709","14:62194237"
"3710","1:186276981"
"3711","1:186276075"
"3712","19:36594487"
"3713","17:915368"
"3714","4:103830704"
"3715","9:16706768"
"3716","23:57162895"
"3717","12:124887096"
"3718","21:37443480"
"3719","11:94278321"
"3720","23:135055906"
"3721","1:51868096"
"3722","16:602313"
"3723","20:1592120"
"3724","1:39659481"
"3725","14:81574844"
"3726","6:128166210"
"3727","14:105174274"
"3728","11:73431029"
"3729","11:73425736"
"3730","5:79952390"
"3731","9:78790143"
"3732","9:78790153"
"3733","19:17397483"
"3734","7:150761314"
"3735","14:105412561"
"3736","5:177785042"
"3737","10:81371637"
"3738","2:179419226"
"3739","2:242171707"
"3740","2:97869931"
"3741","2:97818262"
"3742","21:40018471"
"3743","6:170627695"
"3744","23:119387851"
"3745","10:5037574"
"3746","19:52715971"
"3747","17:14095752"
"3748","6:12296255"
"3749","22:39496336"
"3750","14:105354293"
"3751","17:39274206"
"3752","15:81271640"
"3753","9:112219474"
"3754","8:27289935"
"3755","19:35758277"
"3756","12:129298775"
"3757","8:6302645"
"3758","8:17729012"
"3759","10:75451802"
"3760","11:56468047"
"3761","7:143013457"
"3762","17:76798561"
"3763","19:33517507"
"3764","8:11189142"
"3765","19:501786"
"3766","3:112253057"
"3767","12:130647553"
"3768","19:55324635"
"3769","15:53908077"
"3770","14:23859610"
"3771","1:205166752"
"3772","1:148344741"
"3773","4:4228472"
"3774","14:23341542"
"3775","6:167797844"
"3776","6:167791530"
"3777","3:195595236"
"3778","7:116423428"
"3779","2:132010612"
"3780","2:132021815"
"3781","2:74687550"
"3782","12:3240294"
"3783","2:198266834"
"3784","2:198266611"
"3785","2:120018743"
"3786","16:15463612"
"3787","16:67415"
"3788","19:51728641"
"3789","3:10191507"
"3790","3:10183744"
"3791","14:26917360"
"3792","8:101721839"
"3793","8:101727716"
"3794","8:101718932"
"3795","8:101730073"
"3796","12:121437114"
"3797","8:39068774"
"3798","17:21731041"
"3799","6:32189032"
"3800","6:32191581"
"3801","6:32188383"
"3802","12:101510497"
"3803","15:85438312"
"3804","23:31854782"
"3805","1:33478959"
"3806","1:33478900"
"3807","9:133738363"
"3808","19:40149297"
"3809","19:54743758"
"3810","19:54744209"
"3811","7:13974461"
"3812","7:13975769"
"3813","13:101090369"
"3814","6:32726803"
"3815","6:32725567"
"3816","18:13001523"
"3817","5:140049109"
"3818","5:180058754"
"3819","5:176026138"
"3820","11:8646763"
"3821","8:92136728"
"3822","8:37992585"
"3823","3:12645007"
"3824","7:6022626"
"3825","5:35861068"
"3826","6:134493397"
"3827","2:233426601"
"3828","1:12175729"
"3829","2:169718008"
"3830","8:14412356"
"3831","15:82934804"
"3832","22:50921164"
"3833","3:130733057"
"3834","21:10944704"
"3835","7:66459145"
"3836","1:87601398"
"3837","14:74205687"
"3838","1:37948212"
"3839","5:145883514"
"3840","2:96593016"
"3841","2:96525640"
"3842","6:29910604"
"3843","6:29910700"
"3844","6:29911228"
"3845","6:29911207"
"3846","1:186276100"
"3847","1:186276722"
"3848","10:129906980"
"3849","17:74017554"
"3850","1:12921333"
"3851","23:123179197"
"3852","22:23631820"
"3853","22:23541488"
"3854","22:23632782"
"3855","10:28259940"
"3856","12:6701583"
"3857","10:96828323"
"3858","10:96824738"
"3859","20:3026359"
"3860","21:47552209"
"3861","6:43111336"
"3862","19:4511223"
"3863","3:58112488"
"3864","7:56149452"
"3865","10:51465783"
"3866","3:136139878"
"3867","17:16068463"
"3868","17:16068377"
"3869","17:16097825"
"3870","16:10872533"
"3871","5:50117112"
"3872","12:132589038"
"3873","7:33042358"
"3874","1:248814080"
"3875","6:160679400"
"3876","3:93723489"
"3877","23:150156360"
"3878","2:97637905"
"3879","10:123996976"
"3880","11:49227620"
"3881","11:118344192"
"3882","16:7407250"
"3883","16:7027952"
"3884","7:107395915"
"3885","7:2977614"
"3886","7:157956582"
"3887","11:63525663"
"3888","3:77657045"
"3889","5:65350374"
"3890","13:114537598"
"3891","23:118605017"
"3892","9:107361490"
"3893","17:39334273"
"3894","16:71163579"
"3895","8:90965672"
"3896","8:90967518"
"3897","13:31037791"
"3898","5:140242453"
"3899","9:95237027"
"3900","9:131020815"
"3901","2:166892449"
"3902","2:96523194"
"3903","2:241390516"
"3904","22:38120006"
"3905","19:29704010"
"3906","17:45234417"
"3907","11:49080616"
"3908","16:82672438"
"3909","19:54725995"
"3910","19:7810561"
"3911","7:116423474"
"3912","5:179071958"
"3913","11:104763117"
"3914","19:41743861"
"3915","7:2578238"
"3916","2:219893004"
"3917","12:10573145"
"3918","12:10587111"
"3919","17:39742807"
"3920","17:48456193"
